district,postal_code,breed,dog_size,dog_count
1,1010,Afghanischer Windhund / Mischling,large,1
1,1010,Airedale Terrier,medium,1
1,1010,Akita / Belgischer Schäferhund,large,1
1,1010,American Cocker Spaniel,medium,2
1,1010,American Cocker Spaniel / Kleinpudel Schwarz,medium,2
1,1010,American Cocker Spaniel / Pudel,medium,1
1,1010,Australian Shepherd,medium,6
1,1010,Australian Shepherd / Deutscher Schäferhund Langstockhaar,large,1
1,1010,Australian Shepherd / Labrador Retriever,large,1
1,1010,Barbet,medium,1
1,1010,Basenji,medium,3
1,1010,Beagle,medium,3
1,1010,Beagle / Jack Russell Terrier,medium,1
1,1010,Beagle / Mischling,medium,3
1,1010,Belgischer Schäferhund / Labrador Retriever,large,1
1,1010,Belgischer Schäferhund / Mischling,large,1
1,1010,Berger Blanc Suisse / Pharaoh Hound,large,1
1,1010,Berger de Brie (Briard),large,2
1,1010,Berner Sennenhund,large,2
1,1010,Bichon frise,small,2
1,1010,Bolonka Zwetna,small,1
1,1010,Border Collie,medium,3
1,1010,Border Collie / Australian Shepherd,medium,1
1,1010,Border Collie / Mischling,medium,2
1,1010,Border Collie / Mittelspitz Braun/Schwarz,medium,1
1,1010,Border Collie / Mudi,medium,1
1,1010,Border Terrier,medium,4
1,1010,Border Terrier / Rauhhaar Dachshund Zwerg,medium,1
1,1010,Boston Terrier,medium,1
1,1010,Bracke / Mischling,medium,2
1,1010,Brandlbracke,medium,1
1,1010,Braque Saint-Germain / Magyar Vizsla Kurzhaar,large,1
1,1010,Bull Terrier (Standard),medium,1
1,1010,Bulldog,medium,1
1,1010,Cairn Terrier,small,1
1,1010,Cane Corso Italiano,large,1
1,1010,Cao de Agua Portugues (Portug. Wasserhund),large,3
1,1010,Cavalier King Charles Spaniel,small,5
1,1010,Cavalier King Charles Spaniel / Mischling,small,1
1,1010,Chihuahua Kurzhaar,small,16
1,1010,Chihuahua Kurzhaar / Dackel,small,1
1,1010,Chihuahua Kurzhaar / Zwergpinscher,medium,1
1,1010,Chihuahua Langhaar,small,8
1,1010,Chihuahua Langhaar / Pekingese,small,1
1,1010,Chihuahua Langhaar / Zwergpudel Schwarz,medium,1
1,1010,Chinese Crested Dog hairless,small,2
1,1010,Chow-Chow / Eurasier,large,1
1,1010,Ciobanesc Romanesc Carpatin / Mischling,large,1
1,1010,Collie Kurzhaar (Smooth) / Border Collie,medium,1
1,1010,Collie Langhaar (Rough) / Mischling,medium,2
1,1010,Coton de Tulear,small,1
1,1010,Curly-Coated Retriever,large,1
1,1010,Dackel,small,13
1,1010,Dackel / Mischling,small,3
1,1010,Dalmatiner,medium,2
1,1010,Deutsch Drahthaar / Mischling,medium,1
1,1010,Deutsch Kurzhaar,medium,1
1,1010,Deutsch Kurzhaar / Beagle,medium,1
1,1010,Deutsche Dogge blau,large,1
1,1010,Deutsche Dogge gestromt,large,1
1,1010,Deutscher Boxer gelb,large,1
1,1010,Deutscher Pinscher,medium,1
1,1010,Deutscher Pinscher / Schnauzer pfeffersalz,medium,1
1,1010,Deutscher Schäferhund,large,3
1,1010,Deutscher Schäferhund / Mischling,large,2
1,1010,Deutscher Spitz,medium,1
1,1010,Deutscher Spitz / Zwergspitz (Pomeranian),medium,1
1,1010,Dobermann braun-rot,large,1
1,1010,English Cocker Spaniel einfärbig,medium,2
1,1010,English Cocker Spaniel einfärbig / Grosspudel Weiss,large,1
1,1010,English Cocker Spaniel mehrfärbig,medium,3
1,1010,English Setter,medium,1
1,1010,English Springer Spaniel / Braque Saint-Germain,large,1
1,1010,Entlebucher Sennenhund,medium,2
1,1010,Entlebucher Sennenhund / Mischling,medium,1
1,1010,Eurasier,medium,1
1,1010,Flat-Coated Retriever,large,2
1,1010,Fox Terrier drahthaar,medium,1
1,1010,Französische Bulldogge,medium,9
1,1010,Französische Bulldogge / Mischling,medium,2
1,1010,Golden Retriever,large,14
1,1010,Golden Retriever / Deutscher Schäferhund,large,1
1,1010,Golden Retriever / English Cocker Spaniel mehrfärbig,large,1
1,1010,Golden Retriever / Labrador Retriever,large,1
1,1010,Golden Retriever / Mischling,large,2
1,1010,Golden Retriever / Zwergpudel Weiss,large,1
1,1010,Grosser Münsterländer,large,1
1,1010,Grosspudel Apricot,large,2
1,1010,Grosspudel Grau,large,1
1,1010,Havaneser,small,14
1,1010,Havaneser / Mischling,small,2
1,1010,Hellinikos Ichnilatis / Mischling,medium,1
1,1010,Irish Red Setter,medium,1
1,1010,Irish Red and White Setter,medium,1
1,1010,Italienisches Windspiel,small,2
1,1010,Jack Russell Terrier,medium,9
1,1010,Jack Russell Terrier / Fox Terrier drahthaar,medium,1
1,1010,Jack Russell Terrier / Mischling,medium,4
1,1010,Jack Russell Terrier / Zwergpinscher,medium,1
1,1010,Jagdterrier / Mischling,medium,1
1,1010,King Charles Spaniel,small,2
