fid,object_id,park_name,zone_type,area_m2,is_fenced,has_water,quality_score,longitude,latitude,geometry_wkt,web_link
HUNDEZONEOGD.2097966,2097966,Lainzer Tiergarten (MA 49),Hundeverbot,23546962.0,,False,2,16.219884419102865,48.17869029179456,POINT (16.219884419102865 48.17869029179456),
HUNDEZONEOGD.2098125,2098125,Am Steinhof (MA49),Hundeverbot,440056.0,False,False,2,16.276373011365898,48.211428536788475,POINT (16.276373011365898 48.211428536788475),
HUNDEZONEOGD.2097958,2097958,Pötzleinsdorfer Schloßpark,Hundeverbot,348633.0,True,False,3,16.302627157899916,48.24127975300595,POINT (16.302627157899916 48.24127975300595),
HUNDEZONEOGD.2097971,2097971,Erholungsgebiet Laaer Wald (MA 49),Hundeverbot,296013.0,,False,2,16.395613461780336,48.16229277794163,POINT (16.395613461780336 48.16229277794163),
HUNDEZONEOGD.2098152,2098152,Blumengärten Hirschstetten,Hundeverbot,240011.0,True,False,3,16.472936237103188,48.238363447924876,POINT (16.472936237103188 48.238363447924876),
HUNDEZONEOGD.2097787,2097787,PA Löwygrube,Hundeauslaufplatz,221103.0,False,True,3,16.40620481577869,48.1641072431789,POINT (16.40620481577869 48.1641072431789),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2097868,2097868,Prater - Rustenschacher,Hundeauslaufplatz,187005.0,False,True,3,16.41172333538127,48.20438572466873,POINT (16.41172333538127 48.20438572466873),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2098029,2098029,Prater - Jesuitenwiese,Hundeverbot,133578.0,False,False,2,16.404745700316184,48.20541270066449,POINT (16.404745700316184 48.20541270066449),
HUNDEZONEOGD.2097753,2097753,Prater - Pelzmais,Hundeauslaufplatz,125916.0,False,False,2,16.41090645977963,48.208784996268136,POINT (16.41090645977963 48.208784996268136),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2097844,2097844,PA Heuberggstätten,Hundeauslaufplatz,124634.0,False,False,2,16.372431984410294,48.15901103462478,POINT (16.372431984410294 48.15901103462478),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2097998,2097998,Auer-Welsbach-Park,Hundeverbot,87145.0,False,False,2,16.317386575155222,48.187468675799224,POINT (16.317386575155222 48.187468675799224),
HUNDEZONEOGD.2097862,2097862,Tiefauwiese (MA49),Hundeauslaufplatz,79701.0,False,False,2,16.278622504216305,48.24613732340871,POINT (16.278622504216305 48.24613732340871),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2098109,2098109,Hundeverbot Maria-Theresien-Platz (Bundesgärten),Hundeverbot,66112.0,,False,2,16.36074247618282,48.20452706122766,POINT (16.36074247618282 48.20452706122766),
HUNDEZONEOGD.2097945,2097945,Badeteich Süßenbrunn,Hundeauslaufplatz,64273.0,False,True,3,16.485252688199356,48.27674148691576,POINT (16.485252688199356 48.27674148691576),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2097900,2097900,PA Wolfersberg,Hundeauslaufplatz,59546.0,False,True,3,16.245622415122895,48.210782546467314,POINT (16.245622415122895 48.210782546467314),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2098157,2098157,Prater - Arenawiese,Hundeverbot,58544.0,False,False,2,16.408417395589932,48.206877482036056,POINT (16.408417395589932 48.206877482036056),
HUNDEZONEOGD.2098141,2098141,Friedhof St. Marx,Hundeverbot,57078.0,False,False,2,16.40188946345436,48.18261644387586,POINT (16.40188946345436 48.18261644387586),
HUNDEZONEOGD.2098147,2098147,Stadtpark,Hundeverbot,54810.0,,False,2,16.38068201854561,48.20576243540697,POINT (16.38068201854561 48.20576243540697),
HUNDEZONEOGD.2098059,2098059,Liechtensteinpark,Hundeverbot,54225.0,,False,2,16.35887801784797,48.22348563824251,POINT (16.35887801784797 48.22348563824251),
HUNDEZONEOGD.2098151,2098151,Teich Hirschstetten,Hundeverbot,47997.0,,False,2,16.47983774447309,48.246311745584904,POINT (16.47983774447309 48.246311745584904),
HUNDEZONEOGD.2098083,2098083,Kirschblütenpark,Hundeverbot,34045.0,,False,2,16.432487743526305,48.24847173506649,POINT (16.432487743526305 48.24847173506649),
HUNDEZONEOGD.2097982,2097982,Waldmüllerpark,Hundeverbot,33059.0,,False,2,16.36540066530789,48.18058380952404,POINT (16.36540066530789 48.18058380952404),
HUNDEZONEOGD.2098078,2098078,Stadtpark - Kinderpark,Hundeverbot,31300.0,False,False,2,16.38177972926974,48.2049122547903,POINT (16.38177972926974 48.2049122547903),
HUNDEZONEOGD.2098070,2098070,Herderpark,Hundeverbot,30396.0,,False,2,16.410128547461497,48.17217015521867,POINT (16.410128547461497 48.17217015521867),
HUNDEZONEOGD.2098003,2098003,PA Dragonerhäufel,Hundeverbot,28245.0,,False,2,16.405453628504787,48.24750696507761,POINT (16.405453628504787 48.24750696507761),
HUNDEZONEOGD.2098118,2098118,Seepark,Hundeverbot,26990.0,False,False,2,16.50554787767119,48.22691253953395,POINT (16.50554787767119 48.22691253953395),
HUNDEZONEOGD.2098071,2098071,Lagerwiese Rehlacke,Hundeverbot,26194.0,,False,2,16.436865697893737,48.23118505896232,POINT (16.436865697893737 48.23118505896232),
HUNDEZONEOGD.2098155,2098155,Prater - Zirkuswiese,Hundeverbot,26036.0,,False,2,16.400737534217267,48.21179109071167,POINT (16.400737534217267 48.21179109071167),
HUNDEZONEOGD.2098103,2098103,PA Altes AKH,Hundeverbot,26002.0,False,False,2,16.352504349560757,48.21590242893716,POINT (16.352504349560757 48.21590242893716),
HUNDEZONEOGD.2098119,2098119,PA Am Leberberg,Hundeverbot,25885.0,,False,2,16.46148836668644,48.15343223907299,POINT (16.46148836668644 48.15343223907299),
HUNDEZONEOGD.2097861,2097861,Spitalwiese (MA49),Hundeauslaufplatz,25443.0,False,False,2,16.241362661673598,48.227612494314435,POINT (16.241362661673598 48.227612494314435),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2098136,2098136,PA Lorettowiese,Hundeverbot,24342.0,,False,2,16.383752330360164,48.26922519917199,POINT (16.383752330360164 48.26922519917199),
HUNDEZONEOGD.2098053,2098053,PA Roter Berg,Hundeverbot,23755.0,,False,2,16.275649765228213,48.18089251531694,POINT (16.275649765228213 48.18089251531694),
HUNDEZONEOGD.2098126,2098126,Familienbadestrand (MA 45),Hundeverbot,23731.0,False,False,2,16.396882426470036,48.243134901359305,POINT (16.396882426470036 48.243134901359305),
HUNDEZONEOGD.2098044,2098044,Alfred-Böhm-Park,Hundeverbot,23273.0,,False,2,16.38468838151448,48.166867847991554,POINT (16.38468838151448 48.166867847991554),
HUNDEZONEOGD.2097766,2097766,Teich Hirschstetten,Hundeauslaufplatz,23270.0,False,False,2,16.476503040111965,48.24394321987938,POINT (16.476503040111965 48.24394321987938),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2098007,2098007,Matzner-Park,Hundeverbot,21434.0,,False,2,16.302929738761573,48.19557577263356,POINT (16.302929738761573 48.19557577263356),
HUNDEZONEOGD.2098037,2098037,ArbeiterInnenstrand (MA 45),Hundeverbot,19959.0,False,False,2,16.415223510479738,48.243676380768626,POINT (16.415223510479738 48.243676380768626),
HUNDEZONEOGD.2097910,2097910,Hundeauslaufplatz Neue Donau Süd (MA45),Hundeauslaufplatz,19045.0,False,False,2,16.44568529290363,48.2069490395211,POINT (16.44568529290363 48.2069490395211),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2097780,2097780,Hadikpark,Hundeauslaufplatz,18114.0,True,True,4,16.30910923627178,48.18783229889063,POINT (16.30910923627178 48.18783229889063),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2097967,2097967,PA Gitlbauergasse,Hundeverbot,18035.0,,False,2,16.448569040883232,48.27218012428379,POINT (16.448569040883232 48.27218012428379),
HUNDEZONEOGD.2098045,2098045,Allerheiligenpark,Hundeverbot,17281.0,False,False,2,16.38529510408581,48.238007360763845,POINT (16.38529510408581 48.238007360763845),
HUNDEZONEOGD.2097979,2097979,Denglerpark,Hundeverbot,16136.0,,False,2,16.393231615880314,48.27291682198504,POINT (16.393231615880314 48.27291682198504),
HUNDEZONEOGD.2098066,2098066,Eva-und-Otto-Benesch-Park,Hundeverbot,15838.0,False,False,2,16.35230397008822,48.165654275140454,POINT (16.35230397008822 48.165654275140454),
HUNDEZONEOGD.2098133,2098133,Vogelweidpark,Hundeverbot,15386.0,True,False,3,16.33259632597951,48.20359742926073,POINT (16.33259632597951 48.20359742926073),
HUNDEZONEOGD.2097970,2097970,Hedwig-und-Johann-Schneider-Park,Hundeverbot,15153.0,,False,2,16.448938708920426,48.2700423838517,POINT (16.448938708920426 48.2700423838517),
HUNDEZONEOGD.2098123,2098123,Christine-Nöstlinger-Park,Hundeverbot,14787.0,False,False,2,16.32404124715314,48.22515956254714,POINT (16.32404124715314 48.22515956254714),
HUNDEZONEOGD.2098043,2098043,Hofgartel,Hundeverbot,14612.0,,False,2,16.462601217392194,48.15678321523716,POINT (16.462601217392194 48.15678321523716),
HUNDEZONEOGD.2097855,2097855,Ferdinand-Kaufmann-Platz,Hundezone,14489.0,True,True,4,16.399595451504606,48.248984713763804,POINT (16.399595451504606 48.248984713763804),http://www.wien.gv.at/umwelt/parks/hundezonen.html
