FID,OBJECTID,SHAPE,PARK,FLAECHE,TYP,TELEFON,EINFRIEDUNG,WEBLINK1,HUNDETRAENKE,SE_ANNO_CAD_DATA
HUNDEZONEOGD.2097727,2097727,POINT (16.339258670106737 48.18877473447244),Franz-Schwarz-Park,ca. 989 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097728,2097728,POINT (16.348662262469514 48.18080450835556),PA Mittelzone,ca. 2969 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,2,
HUNDEZONEOGD.2097729,2097729,POINT (16.362475929346303 48.232340315881856),Anton-Schmid-Promenade/WP,ca. 1058 m²,Hundezone,01 4000 96530,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097730,2097730,POINT (16.28977564413445 48.17287272943401),Hundezone Himmelbaurgasse,ca. 604 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097731,2097731,POINT (16.35837175384381 48.22631445734974),Lichtentalerpark,ca. 734 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097732,2097732,POINT (16.279431234040477 48.20618384330426),Elfriede-Stumpf-Park,ca. 11532 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097733,2097733,POINT (16.439583904571414 48.20023227496921),Wehlistraße/Ostbahn,ca. 4450 m²,Hundeauslaufplatz,01 4000 8042,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097734,2097734,POINT (16.414093019874606 48.171147930104176),Braunhuberpark,ca. 423 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097735,2097735,POINT (16.291670468329844 48.15309984167229),PA Endemanngasse,ca. 441 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097736,2097736,POINT (16.44219912697853 48.24118278650009),PA Dolfi-Gruber-Weg,ca. 1228 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097737,2097737,POINT (16.438154915752676 48.23869846719018),PA Donaustadtstraße,ca. 749 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097738,2097738,POINT (16.37100801183462 48.23534081492649),Hugo-Gottschlich-Park,ca. 681 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097739,2097739,POINT (16.285452488264106 48.19496133294673),Gustav-Klimt-Park,ca. 362 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097740,2097740,POINT (16.476886134521926 48.21326252193812),PA Asperner Wies'n,ca. 1315 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
